SampleLabel,Date,Location,Section,Trip,Year,Sample_Type,Metric,Conc,Units,MDL,Comments
PE_B_1.21_CAT_ZZ,20210615,Pear,B,1,2021,Standard,Sr,NA,milligrams per liter,0.01,below method detection limit
PE_C_1.21_CAT_ZZ,20210615,Pear,C,1,2021,Standard,Na,0.2,milligrams per liter,0.1,NA
PE_C_1.21_CAT_ZZ,20210615,Pear,C,1,2021,Standard,Mg,NA,milligrams per liter,0.1,below method detection limit
PE_C_1.21_CAT_ZZ,20210615,Pear,C,1,2021,Standard,K,0.2,milligrams per liter,0.1,NA
PE_C_1.21_CAT_ZZ,20210615,Pear,C,1,2021,Standard,Ca,0.4,milligrams per liter,0.1,NA
PE_C_1.21_CAT_ZZ,20210615,Pear,C,1,2021,Standard,Mn,NA,milligrams per liter,0.1,below method detection limit
PE_C_1.21_CAT_ZZ,20210615,Pear,C,1,2021,Standard,Fe,NA,milligrams per liter,0.5,below method detection limit
PE_C_1.21_CAT_ZZ,20210615,Pear,C,1,2021,Standard,Sr,NA,milligrams per liter,0.01,below method detection limit
TO_A_1.21_CAT_ZZ,20210619,Topaz,A,1,2021,Standard,Na,0.3,milligrams per liter,0.1,NA
TO_A_1.21_CAT_ZZ,20210619,Topaz,A,1,2021,Standard,Mg,NA,milligrams per liter,0.1,below method detection limit
TO_A_1.21_CAT_ZZ,20210619,Topaz,A,1,2021,Standard,K,0.2,milligrams per liter,0.1,NA
TO_A_1.21_CAT_ZZ,20210619,Topaz,A,1,2021,Standard,Ca,0.4,milligrams per liter,0.1,NA
TO_A_1.21_CAT_ZZ,20210619,Topaz,A,1,2021,Standard,Mn,NA,milligrams per liter,0.1,below method detection limit
TO_A_1.21_CAT_ZZ,20210619,Topaz,A,1,2021,Standard,Fe,NA,milligrams per liter,0.5,below method detection limit
TO_A_1.21_CAT_ZZ,20210619,Topaz,A,1,2021,Standard,Sr,NA,milligrams per liter,0.01,below method detection limit
TO_B_1.21_CAT_ZZ,20210619,Topaz,B,1,2021,Standard,Na,0.3,milligrams per liter,0.1,NA
TO_B_1.21_CAT_ZZ,20210619,Topaz,B,1,2021,Standard,Mg,NA,milligrams per liter,0.1,below method detection limit
TO_B_1.21_CAT_ZZ,20210619,Topaz,B,1,2021,Standard,K,0.2,milligrams per liter,0.1,NA
TO_B_1.21_CAT_ZZ,20210619,Topaz,B,1,2021,Standard,Ca,0.4,milligrams per liter,0.1,NA
TO_B_1.21_CAT_ZZ,20210619,Topaz,B,1,2021,Standard,Mn,NA,milligrams per liter,0.1,below method detection limit
TO_B_1.21_CAT_ZZ,20210619,Topaz,B,1,2021,Standard,Fe,NA,milligrams per liter,0.5,below method detection limit
TO_B_1.21_CAT_ZZ,20210619,Topaz,B,1,2021,Standard,Sr,NA,milligrams per liter,0.01,below method detection limit
TO_C_1.21_CAT_ZZ,20210619,Topaz,C,1,2021,Standard,Na,0.3,milligrams per liter,0.1,NA
TO_C_1.21_CAT_ZZ,20210619,Topaz,C,1,2021,Standard,Mg,NA,milligrams per liter,0.1,below method detection limit
TO_C_1.21_CAT_ZZ,20210619,Topaz,C,1,2021,Standard,K,0.2,milligrams per liter,0.1,NA
TO_C_1.21_CAT_ZZ,20210619,Topaz,C,1,2021,Standard,Ca,0.4,milligrams per liter,0.1,NA
TO_C_1.21_CAT_ZZ,20210619,Topaz,C,1,2021,Standard,Mn,NA,milligrams per liter,0.1,below method detection limit
TO_C_1.21_CAT_ZZ,20210619,Topaz,C,1,2021,Standard,Fe,NA,milligrams per liter,0.5,below method detection limit
TO_C_1.21_CAT_ZZ,20210619,Topaz,C,1,2021,Standard,Sr,NA,milligrams per liter,0.01,below method detection limit
FR_A_1.21_CAT_ZZ,20210616,Frog,A,1,2021,Standard,Na,0.3,milligrams per liter,0.1,NA
FR_A_1.21_CAT_ZZ,20210616,Frog,A,1,2021,Standard,Mg,NA,milligrams per liter,0.1,below method detection limit
FR_A_1.21_CAT_ZZ,20210616,Frog,A,1,2021,Standard,K,0.2,milligrams per liter,0.1,NA
FR_A_1.21_CAT_ZZ,20210616,Frog,A,1,2021,Standard,Ca,0.8,milligrams per liter,0.1,NA
FR_A_1.21_CAT_ZZ,20210616,Frog,A,1,2021,Standard,Mn,NA,milligrams per liter,0.1,below method detection limit
FR_A_1.21_CAT_ZZ,20210616,Frog,A,1,2021,Standard,Fe,NA,milligrams per liter,0.5,below method detection limit
FR_A_1.21_CAT_ZZ,20210616,Frog,A,1,2021,Standard,Sr,NA,milligrams per liter,0.01,below method detection limit
FR_B_1.21_CAT_ZZ,20210616,Frog,B,1,2021,Standard,Na,0.3,milligrams per liter,0.1,NA
FR_B_1.21_CAT_ZZ,20210616,Frog,B,1,2021,Standard,Mg,NA,milligrams per liter,0.1,below method detection limit
FR_B_1.21_CAT_ZZ,20210616,Frog,B,1,2021,Standard,K,0.2,milligrams per liter,0.1,NA
FR_B_1.21_CAT_ZZ,20210616,Frog,B,1,2021,Standard,Ca,0.8,milligrams per liter,0.1,NA
FR_B_1.21_CAT_ZZ,20210616,Frog,B,1,2021,Standard,Mn,NA,milligrams per liter,0.1,below method detection limit
FR_B_1.21_CAT_ZZ,20210616,Frog,B,1,2021,Standard,Fe,NA,milligrams per liter,0.5,below method detection limit
FR_B_1.21_CAT_ZZ,20210616,Frog,B,1,2021,Standard,Sr,NA,milligrams per liter,0.01,below method detection limit
